Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
Weesterlönj,Weesterlön,,,Westerland,,,,,
,Aidem,,,Eidum,,,,,
,List (Salring),,,List,,,,,
,Woningstair,,,Wenningstedt,,,,,
,Hörnem,,,Hörnum,,,,,
,Abuurt,,,Abort (Morsum),,,,,
,Blisel,,,Blidsel,,,,,
Breeserep?,Brēđerep,,,Braderup (Sylt),,,,,
,Ārichsem,,,Archsum,,,,,
,Muasem,,,Morsum,,,,,
,Gurt Muasem,,,Groß-Morsum,,,,,
,Litj Muasem,,,Klein-Morsum,,,,,
,Kaamp,,,Kampen,,,,,
,Klaampshörn,,,Klaampshörn,,,,,
,Köningshaawen,,,Königshafen,,,,,
,Munkmērsk,,,Munkmarsch,,,,,
,Raantem,,,Rantum,,,,,
,Tinem,,,Tinnum,,,,,
,Süđerhiirdeel,,,Süderheidetal,,,,,
,Klapholtdääl,,,Klappholttal,,,,,
,Alemböög,,,Ellenbogen,,,,,
,Uthörn,,,Uthörn,,,,,
,Weesterhiir,,,Westerheide,,,,,
,,,,,,,,,
e Wik,"bi a Wik, de Wik (halifreesk)",,"wiks (fering), wiker (Pl. wikers) (halifreesk)",Wyk,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Njiblem,,,Nieblum,,,,,
,Ekrem,,,Ackerum,,,,,
,Aalkersem,,,Alkersum,,,,,
,Bualigsem,,,Boldixum,,,,,
,Borigsem,,,Borgsum,,,,,
,Grat Dunsem,,,Groß-Dunsum,,,,,
,Letj Dunsem,,,Klein-Dunsum,,,,,
,Guating,,,Goting,,,,,
,Hedehüsem,,,Hedehusum,,,,,
,Klantem,,,Klintum (Föhr),,,,,
,Madlem,,,Midlum,,,,,
,Ööwenem,,,Oevenum,,,,,
,Olersem,,,Oldsum,,,,,
,Taftem,,,Toftum,,,,,
,Ödersem,,,Utersum,,,,,
,Wiisem,,,Witsum,,,,,
,Wraksem,,,Wrixum,,,,,
,,,,,,,,,
Nääbel,"Neebel (Öömrang), Nääbel (Halifreesk)",,,Nebel,,,,,"Marie Tånageberg 2021, Sååge än Tääle"
,Witjdün,,,Wittdün,,,,,
,Noorsaarep,,,Norddorf,,,,,
,Stianood,,,Steenodde,,,,,
,Sössaarep,,,Süddorf,,,,,
,Waasterhias,,,Westerheide,,,,,
,Wriakhörn,,,Wriakhörn,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Skaagen,,,,,,Skagen,,,"Rüm Hart, Nis Albrecht Johannsen"
Ålburj,,,,,,Aalborg,,,
Ripen,,riper,,Ripen,,Ribe,Riif,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Tingle (Wisinge),,,Tingleff,,Tinglev,,,"Peter Jensen, Di Tofel"
Bålem?,Balem,,,Ballum,,Ballum,,,
